COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,COMPANY_ABBR,A_STOCK_CODE,AREA_NAME,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B_STOCK_CODE,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,CSRC_CODE_DESC,COMPANY_CODE,FULL_NAME
SPD BANK,1,1,浦发银行,600000,310000,-,1,浦发银行,上海市,"Shanghai Pudong Development Bank Co.,Ltd.",浦发银行,2,-,4,19991110,J,   D  F  N          ,金融业,600000,上海浦东发展银行股份有限公司
GBIAC,1,1,白云机场,600004,440000,-,2,白云机场,广东省,Guangzhou Baiyun International Airport Company Limited,白云机场,2,-,4,20030428,G,   D  F  N          ,交通运输、仓储和邮政业,600004,广州白云国际机场股份有限公司
DFAC,1,1,东风股份,600006,420000,-,3,东风股份,湖北省,"DONGFENG AUTOMOBILE CO.,LTD.",东风股份,2,-,4,19990727,C,   D  F  N          ,制造业,600006,东风汽车股份有限公司
"CWTC CO.,LTD.",1,1,中国国贸,600007,110000,-,4,中国国贸,北京市,"China World Trade Center Co.,Ltd.",中国国贸,2,-,4,19990312,K,   D  F  N          ,房地产业,600007,中国国际贸易中心股份有限公司
Capital Eco-Pro Group,1,1,首创环保,600008,110000,-,5,首创环保,北京市,"BEIJING CAPITAL ECO-ENVIRONMENT PROTECTION GROUP CO.,LTD.",首创环保,2,-,4,20000427,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600008,北京首创生态环保集团股份有限公司
SIA,1,1,上海机场,600009,310000,-,6,上海机场,上海市,"Shanghai International Airport Co.,Ltd.",上海机场,2,-,4,19980218,G,   D  F  N          ,交通运输、仓储和邮政业,600009,上海国际机场股份有限公司
BSU,1,1,包钢股份,600010,150000,-,7,包钢股份,内蒙古自治区,"Inner Mongolia Baotou Steel Union Co.,Ltd",包钢股份,2,-,4,20010309,C,   D  F  N          ,制造业,600010,内蒙古包钢钢联股份有限公司
HPI,1,1,华能国际,600011,110000,-,8,华能国际,北京市,"Huaneng Power International,Inc.",华能国际,2,-,4,20011206,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600011,华能国际电力股份有限公司
ANHUI EXPRESSWAY,1,1,皖通高速,600012,340000,-,9,皖通高速,安徽省,Anhui Expressway Company Limited,皖通高速,2,-,4,20030107,G,   D  F  N          ,交通运输、仓储和邮政业,600012,安徽皖通高速公路股份有限公司
HUAXIA BANK,1,1,华夏银行,600015,110000,-,10,华夏银行,北京市,"Hua Xia Bank Co.,Limited",华夏银行,2,-,4,20030912,J,   D  F  N          ,金融业,600015,华夏银行股份有限公司
CMBC,1,1,民生银行,600016,110000,-,11,民生银行,北京市,"China Minsheng Banking Corp., Ltd.",民生银行,2,-,4,20001219,J,   D  F  N          ,金融业,600016,中国民生银行股份有限公司
RIZHAO PORT,1,1,日照港,600017,370000,-,12,日照港,山东省,"RIZHAO PORT CO.,LTD.",日照港,2,-,4,20061017,G,   D  F  N          ,交通运输、仓储和邮政业,600017,日照港股份有限公司
SIPG,1,1,上港集团,600018,310000,-,13,上港集团,上海市,"Shanghai International Port (Group) Co., Ltd.",上港集团,2,-,4,20000719,G,   D  F  N          ,交通运输、仓储和邮政业,600018,上海国际港务(集团)股份有限公司
BAOSTEEL,1,1,宝钢股份,600019,310000,-,14,宝钢股份,上海市,"Baoshan Iron & Steel Co.,Ltd.",宝钢股份,2,-,4,20001212,C,   D  F  N          ,制造业,600019,宝山钢铁股份有限公司
ZHONGYUAN EXPRESSWAY,1,1,中原高速,600020,410000,-,15,中原高速,河南省,"Henan Zhongyuan Expressway Co.,Ltd.",中原高速,2,-,4,20030808,G,   D  F  N          ,交通运输、仓储和邮政业,600020,河南中原高速公路股份有限公司
SEP,1,1,上海电力,600021,310000,-,16,上海电力,上海市,"Shanghai Electric Power Co.,Ltd",上海电力,2,-,4,20031029,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600021,上海电力股份有限公司
SHANDONG STEEL,1,1,山东钢铁,600022,370000,-,17,山东钢铁,山东省,Shandong Iron and Steel Company Ltd,山东钢铁,2,-,4,20040629,C,   D  F  N          ,制造业,600022,山东钢铁股份有限公司
ZZEPC,1,1,浙能电力,600023,330000,-,18,浙能电力,浙江省,"Zhejiang Zheneng Electric Power CO.,LTD",浙能电力,2,-,4,20131219,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600023,浙江浙能电力股份有限公司
HHP,1,1,华能水电,600025,530000,-,19,华能水电,云南省,Huaneng Lancang River Hydropower Inc.,华能水电,2,-,4,20171215,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600025,华能澜沧江水电股份有限公司
COSCO SHIPPING ENERGY,1,1,中远海能,600026,310000,-,20,中远海能,上海市,"Cosco Shipping Energy Transportation Co., Ltd.",中远海能,2,-,4,20020523,G,   D  F  N          ,交通运输、仓储和邮政业,600026,中远海运能源运输股份有限公司
HDPI,1,1,华电国际,600027,370000,-,21,华电国际,山东省,Huadian Power International Corporation Limited,华电国际,2,-,4,20050203,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600027,华电国际电力股份有限公司
SINOPEC CORP.,1,1,中国石化,600028,110000,-,22,中国石化,北京市,China Petroleum & Chemical Corporation,中国石化,2,-,4,20010808,B,   D  F  N          ,采矿业,600028,中国石油化工股份有限公司
CSN,1,1,南方航空,600029,440000,-,23,南方航空,广东省,China Southern Airlines Company Limited,南方航空,2,-,4,20030725,G,   D  F  N          ,交通运输、仓储和邮政业,600029,中国南方航空股份有限公司
"CITIC SECURITIES CO.,LTD.",1,1,中信证券,600030,440000,-,24,中信证券,广东省,CITIC Securities Company Limited,中信证券,2,-,4,20030106,J,   D  F  N          ,金融业,600030,中信证券股份有限公司
SANY,1,1,三一重工,600031,110000,-,25,三一重工,北京市,"SANY HEAVY INDUSTRY CO.,LTD",三一重工,2,-,4,20030703,C,   D  F  N          ,制造业,600031,三一重工股份有限公司
ZHEJIANG PROVINCIAL NEW ENERGY,1,1,浙江新能,600032,330000,-,26,浙江新能,浙江省,"Zhejiang Provincial New Energy Investment Group Co., Ltd.",浙江新能,2,-,4,20210525,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600032,浙江省新能源投资集团股份有限公司
FUJIAN EXPRESSWAY,1,1,福建高速,600033,350000,-,27,福建高速,福建省,"Fujian Expressway Development Co.,Ltd",福建高速,2,-,4,20010209,G,   D  F  N          ,交通运输、仓储和邮政业,600033,福建发展高速公路股份有限公司
CHUTIAN EXPWY,1,1,楚天高速,600035,420000,-,28,楚天高速,湖北省,"Hubei Chutian Smart Communication Co.,Ltd.",楚天高速,2,-,4,20040310,G,   D  F  N          ,交通运输、仓储和邮政业,600035,湖北楚天智能交通股份有限公司
CMB,1,1,招商银行,600036,440000,-,29,招商银行,广东省,"CHINA MERCHANTS BANK CO., LTD.",招商银行,2,-,4,20020409,J,   D  F  N          ,金融业,600036,招商银行股份有限公司
BGCTV,1,1,歌华有线,600037,110000,-,30,歌华有线,北京市,"Beijing Gehua CATV Network Co., Ltd.",歌华有线,2,-,4,20010208,I,   D  F  N          ,信息传输、软件和信息技术服务业,600037,北京歌华有线电视网络股份有限公司
AVICOPTER,1,1,中直股份,600038,230000,-,31,中直股份,黑龙江省,Avicopter Plc.,中直股份,2,-,4,20001218,C,   D  F  N          ,制造业,600038,中航直升机股份有限公司
SRBG,1,1,四川路桥,600039,510000,-,32,四川路桥,四川省,"SICHUAN ROAD & BRIDGE GROUP CO.,LTD.",四川路桥,2,-,4,20030325,E,   D  F  N          ,建筑业,600039,四川路桥建设集团股份有限公司
PDH,1,1,保利发展,600048,440000,-,33,保利发展,广东省,"POLY DEVELOPMENTS AND HOLDINGS GROUP CO., LTD.",保利发展,2,-,4,20060731,K,   D  F  N          ,房地产业,600048,保利发展控股集团股份有限公司
CHINA UNICOM,1,1,中国联通,600050,110000,-,34,中国联通,北京市,China United Network Communications Limited,中国联通,2,-,4,20021009,I,   D  F  N          ,信息传输、软件和信息技术服务业,600050,中国联合网络通信股份有限公司
NUG,1,1,宁波联合,600051,330000,-,35,宁波联合,浙江省,"Ningbo United Group Co.,Ltd.",宁波联合,2,-,4,19970410,F,   D  F  N          ,批发和零售业,600051,宁波联合集团股份有限公司
DWSD,1,1,东望时代,600052,330000,-,36,东望时代,浙江省,"ZHEJIANG DONGWANG TIMES TECHNOLOGY CO., LTD.",东望时代,2,-,4,19970415,R,   D  F  N          ,文化、体育和娱乐业,600052,浙江东望时代科技股份有限公司
JD CAPITAL,1,1,九鼎投资,600053,360000,-,37,九鼎投资,江西省,"Kunwu Jiuding Investment Holdings Co., Ltd",九鼎投资,2,-,4,19970418,J,   D  F  N          ,金融业,600053,昆吾九鼎投资控股股份有限公司
HSTD,1,1,黄山旅游,600054,340000,-,38,黄山旅游,安徽省,"Huangshan Tourism Development Co.,Ltd.",黄山旅游,2,900942,4,19970506,N,   D  F  N          ,水利、环境和公共设施管理业,600054,黄山旅游发展股份有限公司
WDM,1,1,万东医疗,600055,110000,-,39,万东医疗,北京市,"Beijing Wandong Medical Technology Co., Ltd.",万东医疗,2,-,4,19970519,C,   D  F  N          ,制造业,600055,北京万东医疗科技股份有限公司
CHINA MEHECO,1,1,中国医药,600056,110000,-,40,中国医药,北京市,"China Meheco Group Co., Ltd.",中国医药,2,-,4,19970515,F,   D  F  N          ,批发和零售业,600056,中国医药健康产业股份有限公司
XIANGYU,1,1,厦门象屿,600057,350000,-,41,厦门象屿,福建省,"Xiamen Xiangyu Co., Ltd.",厦门象屿,2,-,4,19970604,L,   D  F  N          ,租赁和商务服务业,600057,厦门象屿股份有限公司
MINLIST,1,1,五矿发展,600058,110000,-,42,五矿发展,北京市,"Minmetals Development Co.,Ltd",五矿发展,2,-,4,19970528,F,   D  F  N          ,批发和零售业,600058,五矿发展股份有限公司
GYLS,1,1,古越龙山,600059,330000,-,43,古越龙山,浙江省,"Zhejiang Guyuelongshan Shaoxing Wine Co.,Ltd",古越龙山,2,-,4,19970516,C,   D  F  N          ,制造业,600059,浙江古越龙山绍兴酒股份有限公司
HISENSE V.T.,1,1,海信视像,600060,370000,-,44,海信视像,山东省,"Hisense Visual Technology Co.,Ltd.",海信视像,2,-,4,19970422,C,   D  F  N          ,制造业,600060,海信视像科技股份有限公司
SDIC CAPITAL,1,1,国投资本,600061,310000,-,45,国投资本,上海市,"SDIC Capital Co., Ltd",国投资本,2,-,4,19970519,J,   D  F  N          ,金融业,600061,国投资本股份有限公司
CR DOUBLE-CRANE,1,1,华润双鹤,600062,110000,-,46,华润双鹤,北京市,"China Resources Double-Crane Pharmaceutical Co.,Ltd.",华润双鹤,2,-,4,19970522,C,   D  F  N          ,制造业,600062,华润双鹤药业股份有限公司
WWGX,1,1,皖维高新,600063,340000,-,47,皖维高新,安徽省,"Anhui Wanwei Updated High-Tech Material Industry Co.,Ltd",皖维高新,2,-,4,19970528,C,   D  F  N          ,制造业,600063,安徽皖维高新材料股份有限公司
NJGK,1,1,南京高科,600064,320000,-,48,南京高科,江苏省,Nanjing Gaoke Company Limited,南京高科,2,-,4,19970506,K,   D  F  N          ,房地产业,600064,南京高科股份有限公司
YTCO,1,1,宇通客车,600066,410000,-,49,宇通客车,河南省,"Yutong Bus Co.,Ltd.",宇通客车,2,-,4,19970508,C,   D  F  N          ,制造业,600066,宇通客车股份有限公司
CITYCHAMP DT,1,1,冠城新材,600067,350000,-,50,冠城新材,福建省,"CITYCHAMP DARTONG ADVANCED MATERIALS CO.,LTD.",冠城新材,2,-,4,19970508,C,   D  F  N          ,制造业,600067,冠城大通新材料股份有限公司
PHENIX OPTICS,1,1,凤凰光学,600071,360000,-,51,凤凰光学,江西省,Phenix Optics Company Limited,凤凰光学,2,-,4,19970528,C,   D  F  N          ,制造业,600071,凤凰光学股份有限公司
CSSC-STC,1,1,中船科技,600072,310000,-,52,中船科技,上海市,"CSSC Science & Technology Co., Ltd",中船科技,2,-,4,19970603,E,   D  F  N          ,建筑业,600072,中船科技股份有限公司
BMGC,1,1,光明肉业,600073,310000,-,53,光明肉业,上海市,"SHANGHAI BRIGHT MEAT GROUP CO.,LTD.",光明肉业,2,-,4,19970704,C,   D  F  N          ,制造业,600073,上海光明肉业集团股份有限公司
XINJIANG TIANYE,1,1,新疆天业,600075,650000,-,54,新疆天业,新疆维吾尔自治区,"Xinjiang Tianye Co.,Ltd.",新疆天业,2,-,4,19970617,C,   D  F  N          ,制造业,600075,新疆天业股份有限公司
KANGXINNEWMATERIALS,1,1,康欣新材,600076,370000,-,55,康欣新材,山东省,"Kangxin New Materials Co.,Ltd",康欣新材,2,-,4,19970526,C,   D  F  N          ,制造业,600076,康欣新材料股份有限公司
CXPC,1,1,澄星股份,600078,320000,-,56,澄星股份,江苏省,"JIANGSU CHENGXING PHOSPH-CHEMICALS CO.,LTD.",澄星股份,2,-,4,19970627,C,   D  F  N          ,制造业,600078,江苏澄星磷化工股份有限公司
HWHG,1,1,人福医药,600079,420000,-,57,人福医药,湖北省,"Humanwell Healthcare (Group) Co.,Ltd.",人福医药,2,-,4,19970606,C,   D  F  N          ,制造业,600079,人福医药集团股份公司
GINWA,1,1,金花股份,600080,610000,-,58,金花股份,陕西省,GINWA ENTERPRISE (GROUP) INC.,金花股份,2,-,4,19970612,C,   D  F  N          ,制造业,600080,金花企业(集团)股份有限公司
DETC,1,1,东风科技,600081,310000,-,59,东风科技,上海市,"DONG FENG ELECTRONIC TECHNOLOGY CO.,LTD.",东风科技,2,-,4,19970703,C,   D  F  N          ,制造业,600081,东风电子科技股份有限公司
HITECH DEVELOP,1,1,海泰发展,600082,120000,-,60,海泰发展,天津市,"Tianjin Hi-Tech Development Co.,Ltd.",海泰发展,2,-,4,19970620,F,   D  F  N          ,批发和零售业,600082,天津海泰科技发展股份有限公司
CITIC NIYA,1,1,中信尼雅,600084,650000,-,61,中信尼雅,新疆维吾尔自治区,"CITIC NIYA WINE CO., LTD.",中信尼雅,2,-,4,19970711,C,   D  F  N          ,制造业,600084,中信尼雅葡萄酒股份有限公司
TRT,1,1,同仁堂,600085,110000,-,62,同仁堂,北京市,"BEIJING TONG REN TANG CO., LTD",同仁堂,2,-,4,19970625,C,   D  F  N          ,制造业,600085,北京同仁堂股份有限公司
CTV MEDIA,1,1,中视传媒,600088,310000,-,63,中视传媒,上海市,"China Television Media,Ltd.",中视传媒,2,-,4,19970616,R,   D  F  N          ,文化、体育和娱乐业,600088,中视传媒股份有限公司
TBEA,1,1,特变电工,600089,650000,-,64,特变电工,新疆维吾尔自治区,"TBEA Co.,Ltd.",特变电工,2,-,4,19970618,C,   D  F  N          ,制造业,600089,特变电工股份有限公司
GREATTOWN,1,1,大名城,600094,310000,-,65,大名城,上海市,Greattown Holdings Ltd.,大名城,2,900940,4,19970703,K,   D  F  N          ,房地产业,600094,上海大名城企业股份有限公司
XIANGCAI,1,1,湘财股份,600095,230000,-,66,湘财股份,黑龙江省,"Xiangcai Co.,Ltd",湘财股份,2,-,4,19970708,J,   D  F  N          ,金融业,600095,湘财股份有限公司
YTH,1,1,云天化,600096,530000,-,67,云天化,云南省,"Yunnan Yuntianhua Co.,Ltd",云天化,2,-,4,19970709,C,   D  F  N          ,制造业,600096,云南云天化股份有限公司
SKMIC,1,1,开创国际,600097,310000,-,68,开创国际,上海市,"Shanghai Kaichuang Marine International Co.,Ltd.",开创国际,2,-,4,19970619,A,   D  F  N          ,农、林、牧、渔业,600097,上海开创国际海洋资源股份有限公司
GDG,1,1,广州发展,600098,440000,-,69,广州发展,广东省,Guangzhou Development Group Incorporated,广州发展,2,-,4,19970718,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600098,广州发展集团股份有限公司
LH,1,1,林海股份,600099,320000,-,70,林海股份,江苏省,"Linhai Co.,Ltd.",林海股份,2,-,4,19970704,C,   D  F  N          ,制造业,600099,林海股份有限公司
THTF,1,1,同方股份,600100,110000,-,71,同方股份,北京市,"Tsinghua Tongfang Co.,Ltd.",同方股份,2,-,4,19970627,C,   D  F  N          ,制造业,600100,同方股份有限公司
MXEP,1,1,明星电力,600101,510000,-,72,明星电力,四川省,"Sichuan Mingxing Electric Power Co.,Ltd.",明星电力,2,-,4,19970627,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600101,四川明星电力股份有限公司
QSZY,1,1,青山纸业,600103,350000,-,73,青山纸业,福建省,"Fujian Qingshan Paper Industry Co.,Ltd.",青山纸业,2,-,4,19970703,C,   D  F  N          ,制造业,600103,福建省青山纸业股份有限公司
SAIC MOTOR,1,1,上汽集团,600104,310000,-,74,上汽集团,上海市,SAIC Motor Corporation Limited,上汽集团,2,-,4,19971125,C,   D  F  N          ,制造业,600104,上海汽车集团股份有限公司
ETERN,1,1,永鼎股份,600105,320000,-,75,永鼎股份,江苏省,Jiangsu Etern Company Limited,永鼎股份,2,-,4,19970929,C,   D  F  N          ,制造业,600105,江苏永鼎股份有限公司
CQRB,1,1,重庆路桥,600106,500000,-,76,重庆路桥,重庆市,"Chongqing Road&Bridge Co.,Ltd",重庆路桥,2,-,4,19970618,G,   D  F  N          ,交通运输、仓储和邮政业,600106,重庆路桥股份有限公司
